45	28
62	41
198	169
258	227
425	380
495	441
572	502
618	533
698	593
1590	1463
1905	1726
2261	2050
2639	2377
3215	2884
4109	3714
5142	4653
6384	5768
8351	7621
10117	9272
11618	10606
13603	12306
14981	13496
16902	15177
18454	16500
19558	17361
32081	29507
35991	32959
37914	34289
39462	35314
41152	36385
42752	37152
44412	38020
45027	37994
45346	37448
45660	36680
46259	36232
46607	35674
47071	34691
47441	33563
47824	32392
48137	30179
48557	28836
49122	27700
49315	25903
49426	24144
49540	22368
49671	21050
49797	20115
49871	19011
49912	17772
49948	16627
49965	15732
49978	14514
49986	13462
49991	12358
49995	11098
49999	11102
50003	9150
50004	8304
50005	7483
50005	6744
50005	6118
50005	5610
50005	5143
50005	4700
50006	4268
50006	3794
50006	3407
50006	2880
