商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
惠氏	0.515	爱尔兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	168	338432
雅培	1.09	其它　	进口	0.5-1岁	桶装	有机奶粉	牛奶粉	2段	450	15452
伊利	0.45	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	66	18622
合生元	1.18	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	205	33435
特福芬	0.6	德国	进口	0.5-1岁	盒装	有机奶粉	牛奶粉	2段	295	2727
圣元	1.2	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	188	4269
合生元	1.18	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	410	2065
雅士利	1.12	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	182	16995
伊利	1.25	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	105	1438
惠氏	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	134	31009
完达山	1.14	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	228	9992
伊利	0.47	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	53	38285
佳贝艾特	0.8	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	328	1829
合生元	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	214	670
飞鹤	1.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	184.5	512
君乐宝	1.18	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	176	1670
君乐宝	0.22	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	110	10881
贝因美	1.1	其它　	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	464	1464
雅培	0.5	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	158	654
羊羊	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	328	2469
圣元	0.45	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	69	2110
特福芬	1.8	德国	进口	1-3岁	盒装	有机奶粉	牛奶粉	3段	885	796
箱装奶粉	6.82	荷兰	国产	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	900	257920
完达山	0.41	中国大陆	国产	3-6岁	袋装	常规配方奶粉	牛奶粉	4段	43	1768
雀巢	1.07	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	159	6825
多美滋	1.29	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	97	831
君乐宝	0.47	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	36	35306
惠氏	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	125	34581
雅培	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	139	855
惠氏	1	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	298	36472
伊利	1.2	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	141	2462
伊利	0.8	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268	2765
多美滋	0.47	澳洲/新西兰　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	70	51495
圣元	1.1	澳洲/新西兰	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	138	1127
合生元	1.2	其它　	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	208	2296
爱睿惠	1.09	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	99	245
贝因美	0.5	爱尔兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	84	56587
多美滋	1.13	澳洲/新西兰　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	228	10939
雀巢	1.08	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	155	6825
飞鹤	0.46	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	118	18127
贝因美	0.51	爱尔兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	85	23204
圣元	1.2	澳洲/新西兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	148	1024
HiPP喜宝	1.017	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	368	63
合生元	0.9	法国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	261	398
美素	3.33	荷兰	进口	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	624	401183
雅培	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	138	548
君乐宝	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	79	3647
美赞臣	1.5	荷兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	155	1454
飞鹤	0.94	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	368	17020
美赞臣	1.5	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	776	12292
完达山	0.47	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	69	1407
惠氏	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	148	32444
惠氏	1.5	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	152	32412
贝因美	0.55	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	84	729
雅培	1.2	其它　	进口	1-3岁	桶装	有机奶粉	牛奶粉	3段	295	193
佳贝艾特	0.4	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	228	1266
贝因美	1.13	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	145	542
合生元	1.5	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	246	199
美赞臣	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	134	595
箱装奶粉	6.8	荷兰	国产	0.5-1岁	箱装	常规配方奶粉	牛奶粉	2段	1008	108587
御宝	0.9	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	339	1174
惠氏	1.2	其它　	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	172	13556
圣元	1.1	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	138	918
贝因美	0.554	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	92	400
美素	1.3	其它　	进口	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	230	128
欢恩宝	1	荷兰	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	348	1129
澳优	0.8	荷兰	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	185	1060
惠氏	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	146	693
圣元	1.1	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	148	806
惠氏	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	885	1286
君乐宝	0.8	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	148	1039
雅培	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	138	1444
伊利	0.8	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	283.5	1507
佳贝艾特	0.8	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	328	1091
特福芬	0.6	德国	进口	1-3岁	盒装	有机奶粉	牛奶粉	3段	295	1361
辉山	0.47	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	9.9	190
雅培	1.09	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	376	12
贝因美	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	99	635
贝因美	1.5	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	335	482
贝因美	0.49	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	49	9194
澳优	0.8	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	198	1201
圣元	0.9	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	201	273
飞鹤	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	97.2	136
亨氏	1.09	英国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	249	10423
爱睿惠	0.95	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	99	44
圣元	1.1	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	172	596
伊利	1.2	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	158	2058
君乐宝	0.48	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	36	10881
君乐宝	1.6	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	149	208
