商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
欢恩宝	1	荷兰	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	348	808
伊利	0.4	澳洲/新西兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	93	1429
贝因美	1.1	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	268	108
美赞臣	1	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	428	60
伊利	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268.5	299
伊利	0.8	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268.5	366
君乐宝	1.06	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	176	15
雅培	1.08	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	290	1159
多美滋	0.47	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	86	15881
特福芬	1.8	德国	进口	1-3岁	箱装	有机奶粉	牛奶粉	3段	885	239
明一	6.72	澳洲/新西兰	国产	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	834	115
雀巢	0.5	其它　	进口	0-0.5岁	桶装	特殊配方奶粉	牛奶粉	3段	296	203
伊利	0.9	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	298	1296
御宝	1	其它　	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	378	129
关山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	202	179
西谱	1.1	其它　	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	318	906
迈高	0.8	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	410	492
雀巢	0.4	荷兰	进口	0-0.5岁	桶装	特殊配方奶粉	牛奶粉	1段	296	776
羊羊	0.8	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	328	719
美素	1.08	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	179	1062
君乐宝	0.8	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	312	1040
御宝	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	羊奶粉	3段	149	1231
飞鹤	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	308	103
惠氏	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	500	582
美赞臣	1.2	其它　	国产	0.5-1岁	箱装	常规配方奶粉	牛奶粉	2段	203	279
美赞臣	1	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	218	44
飞鹤	1.5	中国大陆	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	208.8	80
飞鹤	0.4	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	76	383
美赞臣	0.4	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	81	483
完达山	1.12	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	328	1949
羊羊	0.8	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	328	526
伊利	0.8	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	1134	1507
合生元	0.9	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	322	33
安满	1.2	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	153	78
施恩	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	360	644
关山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	298	276
喜安智	1	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	368	162
惠氏	2	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	262	34979
合生元	2	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	322	200
君乐宝	1.06	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	156	6
惠氏	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	292	12693
美赞臣	1	其它　	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	179	134
伊利	1	其它　	国产	6岁以上	袋装	常规配方奶粉	牛奶粉	4段	126	150
辉山	1.13	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268	7693
贝因美	0.908	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	182	305
伊利	1.2	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	109	479
贝因美	6.66	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	396	304
惠氏	1.2	其它　	进口	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	784	1421
美素	0.9	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	676	5422
雀巢	0.99	德国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	278	713
雅培	0.53	其它　	进口	0.5-1岁	桶装	特殊配方奶粉	牛奶粉	1段	173	25243
西谱	1.1	其它　	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	378	236
特福芬	0.6	德国	进口	1-3岁	盒装	有机奶粉	牛奶粉	3段	1770	1361
贝因美	0.55	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	168	43
特福芬	0.69	其它　	进口	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	176	190
飞鹤	1.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	369	513
澳优	0.8	荷兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	198	286
百立乐	0.8	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	338	435
雅培	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	298	510
澳优	0.8	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	428	380
蒙牛	1	其它　	国产	0-0.5岁	桶装	有机奶粉	牛奶粉	1段	368	97
三元	0.4	中国大陆	国产	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	780	347
君乐宝	1.6	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	352	54
惠氏	0.4	爱尔兰	进口	0-0.5岁	桶装	特殊配方奶粉	牛奶粉	1段	165	630
贝因美	1	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	105	100
美素	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	358	1608
多美滋	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	110	335
贝因美	0.571	中国大陆	国产	0-0.5岁	箱装	常规配方奶粉	牛奶粉	2段	53	1257
雅培	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	556	855
伴宝乐	0.9	法国	进口	0-0.5岁	桶装	有机奶粉	牛奶粉	1段	206	278
雅培	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	256	210
雅士利	0.7	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	303	1324
美素	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	1308	3707
飞鹤	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1428	77
雅培	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	276	548
雅培	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	250	1120
美赞臣	2.2	荷兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	372	4
贝因美	1	中国大陆	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	210	692
雅士利	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	140	84
贝因美	1	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	119	514
贝因美	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	85	122
雀巢	0.8	德国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	296	371
明一	1.68	澳洲/新西兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	149	516
百立乐	0.8	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	348	129
雅士利	0.8	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	3段	223.5	69
雀巢	0.4	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	2段	616	898
爱达力	0.8	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	298	245
贝因美	1.1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	241	79
诺优能	0.8	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	540	451
惠氏	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	584	693
雅培	1.09	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	175	54
君乐宝	1.6	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	119	43
雅士利	1.12	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	298	18
贝因美	1.1	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	221	40
合生元	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	322	99
飞鹤	1.11	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	338	17020
味全	8.64	荷兰	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	702	38
亨氏	1.1	英国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	260	10424
御宝	2.1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	339	14
雀巢	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	161	108
合生元	1.2	其它　	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	176	24
贝拉米	0.9	澳洲/新西兰	进口	1-3岁	桶装	有机奶粉	牛奶粉	3段	309	417
诺优能	0.9	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	142	258
美赞臣	1.13	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	348	39
君乐宝	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	352	484
完达山	1.14	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	195	9992
御宝	0.4	中国大陆	国产	3-6岁	盒装	常规配方奶粉	羊奶粉	4段	149	206
飞鹤	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1788	57
施恩	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	180	644
圣元	1	法国	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	233	63
德国多比	1	德国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	438	22
纽贝滋	1	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	695	29
奶粉 三元	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	774	120
惠氏	1	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	168	163
纽瑞滋	1.1	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	198	258
雅睿	1.06	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	328	101
朵茵倍可	1.1	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	248	184
伴宝乐	0.9	法国	进口	1-3岁	桶装	有机奶粉	牛奶粉	3段	2598	207
雅士利	0.7	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	606	1324
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	966	1809
美素	1.3	其它　	进口	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	458	128
惠氏	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	268	1009
圣元	0.5	法国	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	3段	68	76
明一	1.12	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	219	484
雅培	0.5	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	308	655
御宝	0.5	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	339	91
伴宝乐	0.9	法国	进口	0.5-1岁	桶装	有机奶粉	牛奶粉	2段	2469	105
美羚	1.2	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	188	102
爱达力	0.8	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	348	238
贝因美	1.1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	870	9
惠氏	0.4	爱尔兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	118	203
圣元	0.5	法国	国产	0.5-1岁	袋装	常规配方奶粉	牛奶粉	2段	53	78
雀巢	0.8	德国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	1184	371
美素	0.9	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	169	10
御宝	1	其它　	国产	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	378	39
圣元	0.5	法国	国产	0-0.5岁	袋装	常规配方奶粉	牛奶粉	1段	56	109
完达山	1.12	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	148	7068
雅培	0.9	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	176	220
诺优能	1.6	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	286	177168
尤爱倍特	1	荷兰	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	226	312
英氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	368	27
三元	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	780	307
贝因美	1.1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	215	188
素加奶粉	1.18	法国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	3段	348	196
雅培	0.82	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	550	504
澳优	0.8	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	226	212
伊利	0.9	其它　	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	129	292
贝拉米	1.106	澳洲/新西兰	进口	0.5-1岁	桶装	有机奶粉	牛奶粉	2段	309	208
伊利	1.1	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	298	45
惠氏	0.52	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	160	651
雀巢	0.8	德国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	972	1375
伊利	1.1	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	3段	268	14
康维多	1	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	390	151
美可高特	0.77	中国大陆	国产	3-6岁	桶装	常规配方奶粉	羊奶粉	4段	202	277
雅培	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	596	860
雀巢	0.4	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	425	293
美赞臣	1.6	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	256	98
贝因美	0.908	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	3段	528	89
雅培	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1776	510
惠氏	0.9	其它　	进口	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	320	329
完达山	1.12	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	163	2725
美赞臣	1	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	233	61
西谱	1.1	其它　	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	388	338
蒙牛	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	368	33
迈高	0.8	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	692	107
咔哇熊	1.15	澳洲/新西兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	310	290
羊羊	1.04	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	276	1559
雅士利	1.5	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	139	117
合生元	2	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	259	694
爱婴宝秀	1	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	298	84
多美滋	0.9	其它　	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	460	332
惠氏	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	592	275
诺优能	0.9	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1590	8
澳优	0.8	荷兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	212	463
伊利	1.2	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	632	2058
完达山	1	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	149	67
合生元	0.9	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	259	41
雀巢	0.4	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	2段	1232	898
明一	1.12	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	149	152
太子乐	0.9	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	138	114
咔哇熊	1.09	澳洲/新西兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	189	850
伊利	1.2	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	560	2462
惠氏	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	295	189
贝因美	0.9	其它　	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	237	871
合生元	1.5	法国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	329	11
惠氏	0.7	爱尔兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	165	19
惠氏	0.35	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	135	198
金典	0.9	德国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	4段	328	111
羊羊	0.8	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	328	810
伊利	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	402	192
伴宝乐	0.9	法国	进口	0.5-1岁	桶装	有机奶粉	牛奶粉	2段	409	164
德国多比	1	德国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	438	21
朵茵倍可	1.1	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	248	110
多美滋	1.29	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	776	831
多美滋	1.29	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	582	831
雀巢	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	324	461
美赞臣	1	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	145	68
飞鹤	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	68	586
多美滋	0.46	澳洲/新西兰　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	154	10940
伊利	0.5	其它　	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	528	930
关山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	298	1008
英氏	2	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	308	407
伊利	0.98	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	834	1573
君乐宝	0.8	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	150	628
澳仕卡牛	1	澳洲/新西兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	299	123
伊利	0.98	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	278	1573
雅培	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	552	1444
完达山	0.4	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	360	1364
雅士利	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	834	390
雅士利	1.2	其它　	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	134	70
惠氏	0.5	爱尔兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	301	417
多美滋	1.6	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	97	13
多美滋	1.2	中国大陆	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	424	29
惠氏	1	爱尔兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	313	73
贝因美	1	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	199	19
澳优	0.9	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	458	57
多美滋	0.8	其它　	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	376	385
雀巢	1.37	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	180	37
羊羊	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	328	49
御宝	0.8	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	298	129
明一	1.45	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	138	126
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	483	1809
完达山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	220	86
雅培	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	828	1444
飞鹤	1	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	93	180
合生元	1.2	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	259	25
完达山	1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	149	81
雀巢	0.9	德国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	279	265
完达山	0.4	其它　	国产	3-6岁	袋装	常规配方奶粉	牛奶粉	4段	192	548
伊利	0.4	澳洲/新西兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	140	1210
惠氏	0.9	爱尔兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	147	271
美赞臣	1.2	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	169	1645
雀巢	0.4	荷兰	进口	0-0.5岁	桶装	特殊配方奶粉	牛奶粉	1段	1776	776
多美滋	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	380	895
乐天大贵族	5	其它　	进口	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	1968	27
雅培	0.45	其它　	进口	1-3岁	盒装	特殊配方奶粉	牛奶粉	3段	89	12
贝因美	0.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	300	471
明一	1.68	澳洲/新西兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	249	671
合生元	1.2	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	196.2	456
飞鹤	0.5	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	106	482
贝因美	1	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	326	469
完达山	0.4	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	60	446
美素	1.8	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	416	401183
惠氏	1	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	672	163
御宝	1.8	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	2034	127
美康喜	0.9	美国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	358	122
Humana	0.6	德国	进口	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	208	732
惠氏	0.9	其它　	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	1036	601
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	1710	628
美素	0.95	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	165	107
三元	0.4	中国大陆	国产	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	370	309
雅培	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	280	111
西谱	1.1	其它　	进口	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	378	146
惠氏	1.1	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	279	288
迈高	1.5	澳洲/新西兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	205	68
贝因美	1.2	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	335	46
雅培	1.25	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	355	17
美赞臣	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	155	292
雅士利	1.5	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	110	34
完达山	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	178	190
美赞臣	1.1	荷兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	156	33
美素	1.6	荷兰	进口	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	369	42
美赞臣	2.2	荷兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	372	48
惠氏	3.5	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	374	38
飞鹤	0.9	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	295.2	27
惠氏	0.8	爱尔兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	125	17
贝因美	0.5	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	54	265
明一	6.72	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1434	63
卡洛塔妮 	1	澳洲/新西兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	280	67
魔妈	5.8	其它　	国产	1-3岁	箱装	常规配方奶粉	羊奶粉	3段	2208	9
雅培	1.2	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	508	974
金贝	1.1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	298	68
惠氏	1.4	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	159	8
